location_key,county,cumulative_confirmed,cumulative_deceased
AK,02013,1101.0,3.0
AK,02016,1685.0,1.0
AK,02020,105418.0,526.0
AK,02050,10362.0,41.0
AK,02068,424.0,1.0
AK,02070,1932.0,11.0
AK,02090,27763.0,142.0
AK,02100,624.0,1.0
AK,02110,8798.0,19.0
AK,02122,18091.0,101.0
AK,02130,4154.0,17.0
AK,02150,4992.0,12.0
AK,02158,4084.0,14.0
AK,02170,34981.0,236.0
AK,02180,6245.0,5.0
AK,02185,4468.0,11.0
AK,02188,4837.0,13.0
AK,02195,785.0,4.0
AK,02198,1454.0,8.0
AK,02220,2681.0,6.0
AK,02230,187.0,0.0
AK,02240,2052.0,20.0
AK,02261,2948.0,19.0
AK,02275,579.0,1.0
AK,02290,1438.0,10.0
AL,01001,15863.0,216.0
AL,01003,55862.0,681.0
AL,01005,5681.0,98.0
AL,01007,6457.0,105.0
AL,01009,15005.0,243.0
AL,01011,2319.0,54.0
AL,01013,5068.0,129.0
AL,01015,32453.0,627.0
AL,01017,8508.0,162.0
AL,01019,5134.0,86.0
AL,01021,11131.0,207.0
AL,01023,2051.0,36.0
AL,01025,7154.0,101.0
AL,01027,4099.0,82.0
AL,01029,3566.0,69.0
AL,01031,13643.0,231.0
AL,01033,16356.0,261.0
AL,01035,2869.0,71.0
AL,01037,2977.0,58.0
AL,01039,9355.0,232.0
AL,01041,3834.0,100.0
AL,01043,24649.0,367.0
AL,01045,12947.0,231.0
AL,01047,8429.0,244.0
AL,01049,18799.0,330.0
AL,01051,23420.0,347.0
AL,01053,10081.0,171.0
AL,01055,28780.0,651.0
AL,01057,4986.0,96.0
AL,01059,9903.0,139.0
AL,01061,6494.0,164.0
AL,01063,1877.0,49.0
AL,01065,4741.0,106.0
AL,01067,4584.0,76.0
AL,01069,25800.0,506.0
AL,01071,15049.0,241.0
AL,01073,185930.0,2373.0
AL,01075,3745.0,65.0
AL,01077,24193.0,397.0
AL,01079,7682.0,160.0
AL,01081,37888.0,341.0
AL,01083,25065.0,293.0
AL,01085,2628.0,77.0
AL,01087,3885.0,85.0
AL,01089,90395.0,968.0
AL,01091,5196.0,108.0
AL,01093,8157.0,152.0
AL,01095,27438.0,394.0
AL,01097,113300.0,1653.0
AL,01099,5276.0,80.0
AL,01101,55316.0,948.0
AL,01103,36167.0,518.0
AL,01105,2096.0,47.0
AL,01107,5271.0,102.0
AL,01109,7590.0,134.0
AL,01111,5092.0,75.0
AL,01113,10112.0,93.0
AL,01115,25395.0,416.0
AL,01117,61273.0,452.0
AL,01119,2594.0,51.0
AL,01121,22396.0,377.0
AL,01123,11445.0,234.0
AL,01125,56301.0,786.0
AL,01127,18767.0,447.0
AL,01129,3736.0,59.0
AL,01131,2892.0,46.0
AL,01133,7576.0,131.0
AR,05001,5696.0,79.0
AR,05003,5115.0,66.0
AR,05005,8848.0,247.0
AR,05007,67110.0,849.0
AR,05009,9468.0,180.0
AR,05011,2997.0,49.0
AR,05013,965.0,10.0
AR,05015,6138.0,102.0
AR,05017,2778.0,60.0
AR,05019,5379.0,79.0
AR,05021,4154.0,93.0
AR,05023,6466.0,128.0
AR,05025,2269.0,36.0
AR,05027,5438.0,95.0
AR,05029,5491.0,65.0
AR,05031,37767.0,329.0
AR,05033,15884.0,249.0
AR,05035,14315.0,226.0
AR,05037,4836.0,83.0
AR,05039,1747.0,31.0
AR,05041,3030.0,41.0
AR,05043,4687.0,70.0
AR,05045,35251.0,316.0
AR,05047,3818.0,73.0
AR,05049,2696.0,90.0
AR,05051,23359.0,510.0
AR,05053,4468.0,61.0
AR,05055,16088.0,173.0
AR,05057,4571.0,68.0
AR,05059,11237.0,136.0
AR,05061,3763.0,50.0
AR,05063,10639.0,212.0
AR,05065,3906.0,70.0
AR,05067,6135.0,63.0
AR,05069,18608.0,277.0
AR,05071,6830.0,87.0
AR,05073,1298.0,31.0
AR,05075,5324.0,78.0
AR,05077,2912.0,59.0
AR,05079,4920.0,68.0
AR,05081,3281.0,104.0
AR,05083,5130.0,80.0
AR,05085,19951.0,243.0
AR,05087,3975.0,61.0
AR,05089,3409.0,88.0
AR,05091,9596.0,181.0
AR,05093,13608.0,210.0
AR,05095,1936.0,35.0
AR,05097,1525.0,57.0
AR,05099,2188.0,46.0
AR,05101,1719.0,47.0
AR,05103,5484.0,104.0
AR,05105,2523.0,37.0
AR,05107,4829.0,99.0
AR,05109,2618.0,44.0
AR,05111,8052.0,127.0
AR,05113,4148.0,149.0
AR,05115,18455.0,210.0
AR,05117,1965.0,43.0
AR,05119,103939.0,1186.0
AR,05121,5217.0,89.0
AR,05123,7170.0,96.0
AR,05125,31019.0,339.0
AR,05127,2299.0,43.0
AR,05129,2126.0,48.0
AR,05131,32837.0,526.0
AR,05133,5943.0,75.0
AR,05135,4640.0,105.0
AR,05137,2918.0,68.0
AR,05139,9268.0,176.0
AR,05141,3489.0,62.0
AR,05143,68841.0,621.0
AR,05145,22164.0,292.0
AR,05147,1732.0,31.0
AR,05149,6859.0,106.0
AZ,04001,22540.0,614.0
AZ,04003,31614.0,573.0
AZ,04005,44091.0,478.0
AZ,04007,17398.0,381.0
AZ,04009,12051.0,177.0
AZ,04011,2226.0,33.0
AZ,04012,5227.0,144.0
AZ,04013,1283590.0,17326.0
AZ,04015,57631.0,1454.0
AZ,04017,38394.0,909.0
AZ,04019,255688.0,3850.0
AZ,04021,132748.0,1666.0
AZ,04023,16683.0,232.0
AZ,04025,48293.0,1212.0
AZ,04027,62751.0,1181.0
CA,06001,284054.0,1896.0
CA,06003,126.0,0.0
CA,06005,9242.0,86.0
CA,06007,40181.0,424.0
CA,06009,7754.0,120.0
CA,06011,4549.0,22.0
CA,06013,209958.0,1302.0
CA,06015,6381.0,50.0
CA,06017,30508.0,212.0
CA,06019,257611.0,2757.0
CA,06021,6631.0,67.0
CA,06023,20952.0,146.0
CA,06025,66925.0,916.0
CA,06027,4636.0,56.0
CA,06029,244681.0,2427.0
CA,06031,55429.0,448.0
CA,06033,11699.0,137.0
CA,06035,10751.0,69.0
CA,06037,2908425.0,32022.0
CA,06039,43685.0,365.0
CA,06041,38685.0,293.0
CA,06043,3145.0,35.0
CA,06045,16568.0,124.0
CA,06047,72959.0,823.0
CA,06049,1485.0,11.0
CA,06051,3144.0,6.0
CA,06053,95140.0,744.0
CA,06055,27765.0,144.0
CA,06057,17503.0,127.0
CA,06059,600384.0,7023.0
CA,06061,71527.0,628.0
CA,06063,3379.0,14.0
CA,06065,626695.0,6527.0
CA,06067,314407.0,3159.0
CA,06069,13636.0,98.0
CA,06071,597377.0,7423.0
CA,06073,824586.0,5271.0
CA,06075,143959.0,866.0
CA,06077,178501.0,2236.0
CA,06079,57556.0,478.0
CA,06081,137238.0,755.0
CA,06083,92683.0,693.0
CA,06085,342015.0,2298.0
CA,06087,52532.0,263.0
CA,06089,36988.0,648.0
CA,06091,324.0,5.0
CA,06093,7478.0,105.0
CA,06095,89419.0,451.0
CA,06097,90191.0,490.0
CA,06099,136645.0,1694.0
CA,06101,23045.0,234.0
CA,06103,14753.0,202.0
CA,06105,1485.0,20.0
CA,06107,136125.0,1469.0
CA,06109,13758.0,182.0
CA,06111,186062.0,1498.0
CA,06113,41061.0,316.0
CA,06115,17944.0,122.0
CO,08001,137720.0,1380.0
CO,08003,4560.0,62.0
CO,08005,158561.0,1284.0
CO,08007,2926.0,16.0
CO,08009,855.0,13.0
CO,08011,2560.0,47.0
CO,08013,68435.0,391.0
CO,08014,13997.0,116.0
CO,08015,4749.0,47.0
CO,08017,322.0,9.0
CO,08019,1601.0,12.0
CO,08021,1763.0,54.0
CO,08023,708.0,18.0
CO,08025,3347.0,30.0
CO,08027,656.0,21.0
CO,08029,6232.0,140.0
CO,08031,177033.0,1360.0
CO,08033,367.0,8.0
CO,08035,81400.0,460.0
CO,08037,16274.0,35.0
CO,08039,4880.0,40.0
CO,08041,190541.0,1695.0
CO,08043,15481.0,187.0
CO,08045,15076.0,91.0
CO,08047,977.0,5.0
CO,08049,3599.0,28.0
CO,08051,3407.0,14.0
CO,08053,131.0,0.0
CO,08055,1452.0,35.0
CO,08057,166.0,0.0
CO,08059,128067.0,1356.0
CO,08061,336.0,6.0
CO,08063,1621.0,35.0
CO,08065,1843.0,23.0
CO,08067,13002.0,86.0
CO,08069,81210.0,507.0
CO,08071,3635.0,43.0
CO,08073,2199.0,9.0
CO,08075,7480.0,109.0
CO,08077,43093.0,565.0
CO,08079,241.0,2.0
CO,08081,3062.0,52.0
CO,08083,6229.0,81.0
CO,08085,9398.0,160.0
CO,08087,5735.0,138.0
CO,08089,4322.0,130.0
CO,08091,884.0,6.0
CO,08093,2913.0,20.0
CO,08095,894.0,19.0
CO,08097,6676.0,7.0
CO,08099,2654.0,51.0
CO,08101,47690.0,802.0
CO,08103,1696.0,13.0
CO,08105,2856.0,46.0
CO,08107,6562.0,25.0
CO,08109,1203.0,12.0
CO,08111,203.0,2.0
CO,08113,2322.0,8.0
CO,08115,490.0,11.0
CO,08117,10087.0,15.0
CO,08119,4897.0,58.0
CO,08121,1066.0,28.0
CO,08123,85893.0,703.0
CO,08125,1886.0,23.0
CT,09001,214106.0,2733.0
CT,09003,187284.0,3157.0
CT,09005,33423.0,462.0
CT,09007,30049.0,481.0
CT,09009,205522.0,2839.0
CT,09011,58138.0,662.0
CT,09013,21898.0,275.0
CT,09015,26643.0,305.0
DC,11001,143943.0,1340.0
DE,10001,51836.0,650.0
DE,10003,151392.0,1424.0
DE,10005,63138.0,857.0
FL,12001,69008.0,665.0
FL,12003,8712.0,142.0
FL,12005,45926.0,827.0
FL,12007,7538.0,150.0
FL,12009,135740.0,2100.0
FL,12011,614436.0,5852.0
FL,12013,4103.0,98.0
FL,12015,36528.0,812.0
FL,12017,29988.0,976.0
FL,12019,53825.0,856.0
FL,12021,85078.0,1000.0
FL,12023,21193.0,402.0
FL,12027,9455.0,150.0
FL,12029,4046.0,70.0
FL,12031,255189.0,3410.0
FL,12033,78190.0,1311.0
FL,12035,22651.0,359.0
FL,12037,3087.0,52.0
FL,12039,13475.0,207.0
FL,12041,4562.0,93.0
FL,12043,1995.0,36.0
FL,12045,4292.0,79.0
FL,12047,3841.0,56.0
FL,12049,8696.0,125.0
FL,12051,11773.0,160.0
FL,12053,42396.0,1095.0
FL,12055,24304.0,686.0
FL,12057,379994.0,3793.0
FL,12059,5429.0,87.0
FL,12061,33156.0,654.0
FL,12063,14854.0,280.0
FL,12065,3964.0,61.0
FL,12067,2780.0,61.0
FL,12069,86320.0,1504.0
FL,12071,191963.0,2158.0
FL,12073,85724.0,663.0
FL,12075,10284.0,169.0
FL,12077,2507.0,30.0
FL,12079,5849.0,97.0
FL,12081,96960.0,1434.0
FL,12083,84120.0,2105.0
FL,12085,30920.0,616.0
FL,12086,1209302.0,10921.0
FL,12087,18412.0,119.0
FL,12089,21949.0,294.0
FL,12091,51630.0,688.0
FL,12093,10649.0,183.0
FL,12095,383010.0,2835.0
FL,12097,115328.0,1147.0
FL,12099,375184.0,5059.0
FL,12101,123993.0,1900.0
FL,12103,212746.0,3356.0
FL,12105,202456.0,2991.0
FL,12107,17669.0,424.0
FL,12109,63143.0,567.0
FL,12111,75157.0,1221.0
FL,12113,48592.0,621.0
FL,12115,91416.0,1620.0
FL,12117,105227.0,1096.0
FL,12119,22305.0,576.0
FL,12121,12972.0,315.0
FL,12123,7015.0,102.0
FL,12125,4321.0,116.0
FL,12127,118119.0,1988.0
FL,12129,9972.0,125.0
FL,12131,16555.0,210.0
FL,12133,6642.0,110.0
GA,13001,4833.0,128.0
GA,13003,2200.0,50.0
GA,13005,3692.0,78.0
GA,13007,536.0,15.0
GA,13009,9574.0,240.0
GA,13011,3990.0,94.0
GA,13013,21998.0,256.0
GA,13015,29577.0,447.0
GA,13017,4344.0,122.0
GA,13019,4955.0,83.0
GA,13021,37615.0,788.0
GA,13023,3353.0,100.0
GA,13025,4168.0,109.0
GA,13027,3430.0,86.0
GA,13029,9218.0,91.0
GA,13031,15450.0,264.0
GA,13033,5315.0,110.0
GA,13035,6556.0,157.0
GA,13037,1365.0,22.0
GA,13039,11467.0,120.0
GA,13043,2203.0,96.0
GA,13045,23863.0,460.0
GA,13047,14833.0,168.0
GA,13049,3076.0,63.0
GA,13051,64409.0,886.0
GA,13053,7486.0,22.0
GA,13055,6687.0,134.0
GA,13057,63811.0,630.0
GA,13059,29898.0,232.0
GA,13061,533.0,6.0
GA,13063,64612.0,977.0
GA,13065,2124.0,42.0
GA,13067,176832.0,1819.0
GA,13069,11189.0,284.0
GA,13071,11752.0,246.0
GA,13073,36344.0,390.0
GA,13075,4911.0,76.0
GA,13077,33335.0,491.0
GA,13079,1780.0,55.0
GA,13081,4679.0,137.0
GA,13083,3393.0,29.0
GA,13085,6964.0,101.0
GA,13087,7269.0,131.0
GA,13089,153194.0,1746.0
GA,13091,5244.0,154.0
GA,13093,2383.0,69.0
GA,13095,19863.0,498.0
GA,13097,35159.0,400.0
GA,13099,2767.0,62.0
GA,13101,937.0,12.0
GA,13103,13314.0,196.0
GA,13105,4558.0,109.0
GA,13107,5924.0,160.0
GA,13109,2383.0,67.0
GA,13111,5141.0,160.0
GA,13113,22818.0,321.0
GA,13115,27468.0,520.0
GA,13117,56197.0,401.0
GA,13119,5414.0,104.0
GA,13121,222488.0,2343.0
GA,13123,6960.0,178.0
GA,13125,610.0,25.0
GA,13127,23341.0,406.0
GA,13129,16793.0,270.0
GA,13131,5795.0,113.0
GA,13133,3974.0,85.0
GA,13135,210364.0,1886.0
GA,13137,10192.0,264.0
GA,13139,54571.0,844.0
GA,13141,1587.0,90.0
GA,13143,5452.0,173.0
GA,13145,6095.0,113.0
GA,13147,4899.0,100.0
GA,13149,2181.0,54.0
GA,13151,58353.0,688.0
GA,13153,39773.0,500.0
GA,13155,1926.0,51.0
GA,13157,21247.0,292.0
GA,13159,3155.0,73.0
GA,13161,3966.0,72.0
GA,13163,3668.0,113.0
GA,13165,1504.0,66.0
GA,13167,2258.0,73.0
GA,13169,5080.0,109.0
GA,13171,4864.0,113.0
GA,13173,2277.0,25.0
GA,13175,13827.0,299.0
GA,13177,7387.0,103.0
GA,13179,12434.0,149.0
GA,13181,1604.0,35.0
GA,13183,2801.0,35.0
GA,13185,31175.0,392.0
GA,13187,7258.0,132.0
GA,13189,5082.0,98.0
GA,13191,2469.0,37.0
GA,13193,2154.0,50.0
GA,13195,6950.0,110.0
GA,13197,1520.0,50.0
GA,13199,4487.0,145.0
GA,13201,1723.0,31.0
GA,13205,5255.0,117.0
GA,13207,5927.0,174.0
GA,13209,2082.0,53.0
GA,13211,4709.0,70.0
GA,13213,11548.0,188.0
GA,13215,38349.0,823.0
GA,13217,24799.0,457.0
GA,13219,8820.0,107.0
GA,13221,3250.0,58.0
GA,13223,38412.0,433.0
GA,13225,6239.0,133.0
GA,13227,8392.0,167.0
GA,13229,5821.0,133.0
GA,13231,5473.0,98.0
GA,13233,11910.0,193.0
GA,13235,2180.0,78.0
GA,13237,4528.0,106.0
GA,13239,427.0,4.0
GA,13241,3691.0,99.0
GA,13243,1490.0,48.0
GA,13245,50566.0,895.0
GA,13247,18719.0,321.0
GA,13249,1173.0,11.0
GA,13251,2659.0,70.0
GA,13253,2173.0,30.0
GA,13255,15968.0,421.0
GA,13257,6340.0,159.0
GA,13259,2634.0,35.0
GA,13261,6845.0,170.0
GA,13263,1172.0,32.0
GA,13265,268.0,3.0
GA,13267,5202.0,131.0
GA,13269,2003.0,54.0
GA,13271,3101.0,85.0
GA,13273,2057.0,67.0
GA,13275,12084.0,210.0
GA,13277,11593.0,218.0
GA,13279,7114.0,202.0
GA,13281,2400.0,116.0
GA,13283,1634.0,61.0
GA,13285,15503.0,379.0
GA,13287,2569.0,61.0
GA,13289,1543.0,70.0
GA,13291,4888.0,159.0
GA,13293,7803.0,235.0
GA,13295,17127.0,244.0
GA,13297,22019.0,434.0
GA,13299,10167.0,281.0
GA,13301,1064.0,30.0
GA,13303,4411.0,138.0
GA,13305,7817.0,207.0
GA,13307,439.0,8.0
GA,13309,1414.0,39.0
GA,13311,6857.0,163.0
GA,13313,34132.0,439.0
GA,13315,2014.0,71.0
GA,13317,2246.0,53.0
GA,13319,2247.0,56.0
GA,13321,4677.0,119.0
HI,15001,28425.0,190.0
HI,15003,178469.0,1063.0
HI,15005,1.0,0.0
HI,15007,12864.0,29.0
HI,15009,32000.0,140.0
IA,19001,1588.0,51.0
IA,19003,820.0,14.0
IA,19005,2890.0,60.0
IA,19007,2927.0,68.0
IA,19009,1114.0,20.0
IA,19011,6089.0,77.0
IA,19013,33140.0,480.0
IA,19015,5519.0,54.0
IA,19017,5559.0,82.0
IA,19019,4619.0,58.0
IA,19021,6428.0,58.0
IA,19023,3252.0,53.0
IA,19025,2608.0,25.0
IA,19027,4958.0,66.0
IA,19029,2962.0,78.0
IA,19031,4201.0,35.0
IA,19033,11156.0,170.0
IA,19035,2981.0,62.0
IA,19037,2701.0,32.0
IA,19039,2271.0,37.0
IA,19041,4120.0,44.0
IA,19043,3510.0,72.0
IA,19045,11654.0,146.0
IA,19047,4539.0,54.0
IA,19049,23337.0,144.0
IA,19051,1604.0,32.0
IA,19053,1520.0,26.0
IA,19055,4056.0,68.0
IA,19057,9192.0,139.0
IA,19059,4140.0,72.0
IA,19061,26325.0,295.0
IA,19063,2365.0,52.0
IA,19065,4123.0,74.0
IA,19067,3605.0,62.0
IA,19069,2521.0,43.0
IA,19071,1387.0,25.0
IA,19073,1745.0,21.0
IA,19075,2576.0,44.0
IA,19077,2372.0,46.0
IA,19079,3481.0,72.0
IA,19081,2867.0,47.0
IA,19083,4140.0,62.0
IA,19085,3437.0,95.0
IA,19087,5573.0,74.0
IA,19089,2077.0,35.0
IA,19091,2635.0,38.0
IA,19093,1831.0,49.0
IA,19095,3711.0,50.0
IA,19097,4644.0,69.0
IA,19099,8707.0,110.0
IA,19101,3513.0,51.0
IA,19103,35541.0,153.0
IA,19105,5511.0,73.0
IA,19107,2085.0,48.0
IA,19109,3783.0,88.0
IA,19111,7880.0,142.0
IA,19113,53125.0,583.0
IA,19115,2497.0,62.0
IA,19117,1763.0,32.0
IA,19119,2747.0,50.0
IA,19121,3181.0,40.0
IA,19123,4934.0,87.0
IA,19125,7590.0,125.0
IA,19127,9488.0,112.0
IA,19129,3365.0,42.0
IA,19131,2519.0,50.0
IA,19133,1723.0,49.0
IA,19135,1882.0,49.0
IA,19137,2216.0,55.0
IA,19139,9699.0,131.0
IA,19141,3457.0,71.0
IA,19143,1395.0,22.0
IA,19145,3339.0,46.0
IA,19147,2052.0,38.0
IA,19149,6330.0,100.0
IA,19151,1608.0,27.0
IA,19153,126409.0,1105.0
IA,19155,24382.0,319.0
IA,19157,3728.0,61.0
IA,19159,1135.0,34.0
IA,19161,2412.0,33.0
IA,19163,41418.0,395.0
IA,19165,2724.0,51.0
IA,19167,7987.0,87.0
IA,19169,19980.0,90.0
IA,19171,3925.0,90.0
IA,19173,1318.0,22.0
IA,19175,2720.0,51.0
IA,19177,1383.0,27.0
IA,19179,9003.0,204.0
IA,19181,12591.0,135.0
IA,19183,5681.0,79.0
IA,19185,1271.0,33.0
IA,19187,10384.0,164.0
IA,19189,2984.0,47.0
IA,19191,3906.0,50.0
IA,19193,28838.0,339.0
IA,19195,1781.0,17.0
IA,19197,3626.0,63.0
ID,16001,135259.0,1022.0
ID,16003,704.0,15.0
ID,16005,20914.0,247.0
ID,16007,931.0,16.0
ID,16009,2397.0,41.0
ID,16011,9836.0,154.0
ID,16013,6059.0,30.0
ID,16015,1094.0,14.0
ID,16017,8941.0,188.0
ID,16019,30942.0,286.0
ID,16021,2107.0,62.0
ID,16023,476.0,9.0
ID,16025,158.0,2.0
ID,16027,61709.0,685.0
ID,16029,1495.0,28.0
ID,16031,5037.0,53.0
ID,16033,109.0,1.0
ID,16035,2324.0,33.0
ID,16037,532.0,9.0
ID,16039,7264.0,70.0
ID,16041,2331.0,29.0
ID,16043,2213.0,28.0
ID,16045,3681.0,79.0
ID,16047,3297.0,55.0
ID,16049,2998.0,52.0
ID,16051,6043.0,65.0
ID,16053,6101.0,65.0
ID,16055,42145.0,594.0
ID,16057,6801.0,49.0
ID,16059,1261.0,25.0
ID,16061,1134.0,29.0
ID,16063,1108.0,15.0
ID,16065,12674.0,50.0
ID,16067,4235.0,64.0
ID,16069,8969.0,148.0
ID,16071,807.0,11.0
ID,16073,2274.0,54.0
ID,16075,5586.0,87.0
ID,16077,1496.0,20.0
ID,16079,2746.0,76.0
ID,16081,2723.0,9.0
ID,16083,24129.0,296.0
ID,16085,2642.0,16.0
ID,16087,2394.0,57.0
IL,17001,22525.0,238.0
IL,17003,1288.0,15.0
IL,17005,4370.0,37.0
IL,17007,14162.0,130.0
IL,17009,2430.0,21.0
IL,17011,8461.0,140.0
IL,17013,1537.0,8.0
IL,17015,4301.0,49.0
IL,17017,4640.0,44.0
IL,17019,67086.0,297.0
IL,17021,10330.0,131.0
IL,17023,4887.0,60.0
IL,17025,4750.0,74.0
IL,17027,12066.0,122.0
IL,17029,15526.0,175.0
IL,17031,1193914.0,14936.0
IL,17033,6249.0,61.0
IL,17035,3381.0,49.0
IL,17037,24537.0,201.0
IL,17039,4424.0,45.0
IL,17041,6609.0,61.0
IL,17043,224631.0,1806.0
IL,17045,5209.0,79.0
IL,17047,1776.0,29.0
IL,17049,10711.0,150.0
IL,17051,7155.0,104.0
IL,17053,4496.0,75.0
IL,17055,12275.0,178.0
IL,17057,10257.0,135.0
IL,17059,1415.0,18.0
IL,17061,3663.0,58.0
IL,17063,13009.0,140.0
IL,17065,2181.0,34.0
IL,17067,4420.0,58.0
IL,17069,1059.0,20.0
IL,17071,1166.0,28.0
IL,17073,12884.0,150.0
IL,17075,7294.0,118.0
IL,17077,15840.0,130.0
IL,17079,2691.0,33.0
IL,17081,11159.0,176.0
IL,17083,6320.0,91.0
IL,17085,4105.0,39.0
IL,17087,4538.0,47.0
IL,17089,131751.0,1179.0
IL,17091,29350.0,373.0
IL,17093,32538.0,171.0
IL,17095,12722.0,246.0
IL,17097,159179.0,1466.0
IL,17099,29734.0,442.0
IL,17101,5494.0,52.0
IL,17103,9020.0,118.0
IL,17105,10928.0,149.0
IL,17107,9922.0,100.0
IL,17109,7303.0,105.0
IL,17111,79189.0,511.0
IL,17113,52348.0,330.0
IL,17115,31113.0,354.0
IL,17117,12975.0,171.0
IL,17119,71577.0,866.0
IL,17121,11933.0,217.0
IL,17123,2809.0,33.0
IL,17125,3980.0,61.0
IL,17127,3887.0,71.0
IL,17129,3560.0,24.0
IL,17131,4087.0,47.0
IL,17133,9633.0,131.0
IL,17135,9872.0,111.0
IL,17137,9661.0,145.0
IL,17139,4100.0,52.0
IL,17141,14285.0,136.0
IL,17143,47902.0,555.0
IL,17145,7509.0,107.0
IL,17147,4575.0,29.0
IL,17149,5050.0,70.0
IL,17151,961.0,8.0
IL,17153,1730.0,19.0
IL,17155,1158.0,10.0
IL,17157,10567.0,132.0
IL,17159,5167.0,83.0
IL,17161,33837.0,523.0
IL,17163,70571.0,776.0
IL,17165,7935.0,111.0
IL,17167,56637.0,432.0
IL,17169,1977.0,29.0
IL,17171,1276.0,12.0
IL,17173,6262.0,80.0
IL,17175,1536.0,33.0
IL,17177,11687.0,176.0
IL,17179,37644.0,500.0
IL,17181,5415.0,68.0
IL,17183,28275.0,313.0
IL,17185,3759.0,31.0
IL,17187,4089.0,87.0
IL,17189,3455.0,41.0
IL,17191,5320.0,85.0
IL,17193,4413.0,59.0
IL,17195,15768.0,268.0
IL,17197,169447.0,1612.0
IL,17199,22816.0,263.0
IL,17201,79104.0,855.0
IL,17203,10578.0,124.0
IN,18001,8038.0,112.0
IN,18003,115819.0,1188.0
